"player_id","player_name"
6609,"Denis Suárez Fernández"
6610,"Iván Cuéllar Sacristán"
6611,"Ángel Luis Rodríguez Díaz"
6612,"Rubén Duarte Sánchez"
6613,"Rubén Sobrino Pozuelo"
6615,"Víctor Laguardia Cisneros"
6616,"Munir El Haddadi Mohamed"
6617,"Ibai Gómez Pérez"
6618,"Martín Aguirregabiria Padilla"
6619,"Vitorino Gabriel Pacheco Antunes"
6621,"Amath Ndiaye"
6622,"Tomás Pina Isla"
6624,"Jorge Franco Alviz"
6626,"Mubarak Wakaso"
6627,"Damián Nicolás Suárez Suárez"
6629,"Fernando Pacheco Flores"
6630,"Jorge Molina Vidal"
6632,"Manuel Alejandro García Sánchez"
6634,"Djené Dakonam Ortega"
6635,"Leandro Daniel Cabrera Sasía"
6636,"Rodrigo Ely"
6648,"Aïssa Mandi"
6649,"Óscar de Marcos Arana"
6651,"Joaquín Sánchez Rodríguez"
6652,"Jordi Amat Maas"
6656,"Mikel Rico Moreno"
6657,"Sergio León Limones"
6658,"Cristian Tello Herrera"
6659,"Víctor Camarasa Ferrando"
6662,"Iago Herrerín Buisán"
6663,"Antonio Barragán Fernández"
6665,"Íñigo Martínez Berridi"
6666,"Sabin Merino Zuloaga"
6667,"Mikel Vesga Arruti"
6668,"José Luis Morales Nogales"
6669,"David Zurutuza Veillet"
6670,"Andoni Gorosabel Espinosa"
6671,"Asier Illarramendi Andonegi"
6672,"Jorge Andújar Moreno"
6673,"Sergio Canales Madrazo"
6675,"Antonio Manuel Luna Rodríguez"
6676,"Igor Zubeldia Elorza"
6678,"Emmanuel Okyere Boateng"
6679,"Aritz Elustondo Irribaria"
6680,"Rubén Rochina Naixes"
6681,"José Manuel Rodríguez Benito"
6682,"Sergio Postigo Redondo"
6684,"Roger Martí Salvador"
6685,"Mikel Oyarzabal Ugarte"
6688,"José Ángel Gómez Campaña"
6689,"Álvaro Odriozola Arzallus"
6691,"David Remeseiro Salgueiro"
6692,"Oier Olazábal Paredes"
6693,"Raúl Rodríguez Navas"
6694,"Gerónimo Rulli"
6695,"Juan Miguel Jiménez López"
6698,"Marko Dmitrović"
6699,"Ander Capa Rodríguez"
6700,"Sergio Enrich Ametller"
6701,"Joan Jordán Moreno"
6704,"Theo Bernard François Hernández"
6705,"José Ángel Valdés Díaz"
6707,"Charles Días Barbosa de Oliveira"
6708,"Paulo André Rodrigues de Oliveira"
6709,"Anaitz Arbilla Zabala"
6710,"Rubén Peña Jiménez"
6711,"Enrique García Martínez"
6712,"Gonzalo Escalante"
6713,"Diego Javier Llorente Ríos"
6718,"Sergio Escudero Palomo"
6719,"Franco Damián Vázquez"
6720,"Pablo Sarabia García"
6721,"Willian José da Silva"
6722,"David Soria Solís"
6723,"Wissam Ben Yedder"
6724,"Manuel Agudo Durán"
6732,"Lucas Pérez Martínez"
6733,"Pedro Mosquera Parada"
6734,"Luis Carlos Correia Pinto"
6735,"Adrián López Álvarez"
6737,"Alfonso Pedraza Sag"
6738,"Juan Francisco Moreno Fuertes"
6739,"Diego Alejandro Rolan Silva"
6742,"Sergio Gontán Gallardo"
6746,"Gabriel Armando de Abreu"
6748,"Ferrán Torres García"
6752,"Víctor Ruíz Torre"
6753,"Daniel Raba Antolín"
6754,"David López Silva"
6755,"Sergio Asenjo Andrés"
6757,"Aarón Martín Caricol"
6758,"Víctor Sánchez Mata"
6760,"Enes Ünal"
6761,"Leonardo Carrilho Baptistão"
6762,"Álvaro González Soberón"
6764,"Pablo Fornals Malla"
6765,"Rodrigo Hernández Cascante"
6766,"Gerard Moreno Balaguero"
6767,"Sergio García De La Fuente"
6768,"Diego López Rodríguez"
6769,"Edinaldo Gomes Pereira"
6770,"Esteban Félix Granero Molina"
6771,"Manuel Trigueros Muñoz"
6772,"Mario Gaspar Pérez Martínez"
6773,"Federico Santiago Valverde Dipetta"
6775,"Daniel García Carrillo"
6776,"David Juncà Reñé"
